Sentence#,Word,Tag;
1,Иван,B-PER;
,Петрович,I-PER;
,работает,O;
,в,O;
,Газпром,B-ORG;
2,Подмосковный,B-LOC;
,губернатор,B-PER;
,Андрей,B-PER;
,Воробьев,I-PER;
,подписал,O;
,соглашение,B-LAW;
,о,I-LAW;
,сотрудничестве,I-LAW;
,с,O;
,японской,B-NORP;
,компанией,O;
,Хино,B-ORG;
,Моторс,I-ORG;
,и,O;
,запустил,O;
,строительство,O;
,завода,B-FAC;
,по,O;
,выпуску,O;
,грузовиков,B-PRODUCT;
,этой,O;
,марки,O;
3,Генеральный,B-PER;
,прокурор,I-PER;
,России,I-PER;
,Игорь,B-PER;
,Краснов,I-PER;
,обвинил,O;
,депутата,B-PER;
,Госдумы,I-PER;
,от,I-PER;
,КПРФ,I-PER;
,Валерия,B-PER;
,Рашкина,I-PER;
,во,O;
,лжи,O;
,по,O;
,делу,O;
,об,O;
,убийстве,O;
,лося,O;
,в,O;
,Саратовской,B-GPE;
,области,I-GPE;
4,Президент,B-PER;
,Путин,B-PER;
,назначил,O;
,Аркадия,B-PER;
,Гостева,I-PER;
,директором,B-PER;
,ФСИН,I-PER;
,вместо,O;
,Александра,B-PER;
,Калашникова,I-PER;
5,Foreign,B-ORG;
,Policy,I-ORG;
,Байден,B-PER;
,добивается,O;
,исключения,O;
,санкций,O;
,против,O;
,Nord,B-PRODUCT;
,Stream,I-PRODUCT;
,2,I-PRODUCT;
,из,O;
,бюджета,O;
,США,B-GPE;
6,Президент,B-PER;
,Польши,I-PER;
,предложил,O;
,генсеку,B-PER;
,НАТО,I-PER;
,расширить,O;
,военное,O;
,присутствие,O;
,на,O;
,востоке,O;
,альянса,O;
7,НАТО,B-ORG;
,не,O;
,получила,O;
,от,O;
,России,B-GPE;
,ответа,O;
,на,O;
,свои,O;
,предложения,O;
8,Президент,B-PER;
,Польши,I-PER;
,Анджей,B-PER;
,Дуда,I-PER;
,предложил,O;
,генеральному,B-PER;
,секретарю,I-PER;
,НАТО,I-PER;
,Йенсу,B-PER;
,Столтенбергу,I-PER;
,расширить,O;
,военное,O;
,присутствие,O;
9,В,O;
,Воронеже,B-GPE;
,скончался,O;
,глава,B-PER;
,областного,I-PER;
,фонда,I-PER;
,поддержки,I-PER;
,населения,I-PER;
10,Переговоры,O;
